"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20242","11","서울시","CS100001","한식음식점","4053035124812","106666635","2979971282764","1073063842048","529909957555","598977459805","585311287610","599672179977","666100397817","618267324059","454796517989","142603267698","75964826775","1137423056841","374467509320","1663351426762","659225037416","2005550497243","1254480062660","14889880474","444603559431","775213702682","663976004151","710571031317","650774739748","81999683","24666952","15508302","16697351","15878858","16389964","17525208","13871304","10795648","2939235","3400167","44146964","12053223","33905398","10221648","56864959","38204728","704234","13787886","21812853","18819224","20770056","19175194"
"20241","11","서울시","CS300043","전자상거래업","40540841854","757830","27072848105","13467993749","4936101448","5474548912","5200893770","5909271944","5552032031","8793552200","4674441549","295371731","2839694530","11237610179","14426287549","10405364537","1336513328","19447065396","18172552525","258374262","9066046777","12160085237","5708594598","5916096918","4510420130","495976","261854","81244","82110","95537","115932","121153","158661","103193","6210","18453","191719","248976","251928","40544","349243","383043","13043","213000","192060","144768","89429","79990"
"20241","11","서울시","CS300036","조명용품","416032287642","3713347","373531887197","42500400445","65737839107","84960311629","84764550991","73411987595","64657197875","35306916470","7193483975","510879231","100925490671","118116884390","152509048766","43948206063","21778521","235044336600","93771326347","2387310","5100550484","30028373452","94790770783","116455746367","82437687047","3171428","541919","623215","660848","647651","647585","592129","432024","109895","4087","882182","1141908","1274809","409446","915","2119788","832083","204","69059","337046","534617","871010","1139878"
"20241","11","서울시","CS300035","인테리어","45204034229","1214689","36818342244","8385691985","7143423767","7328693786","8164687281","6623826794","7557710616","6830728514","1554963471","207860432","11360725640","13034505286","14026862719","5407583393","1166496759","22758397631","14428398144","36807106","1591856529","4449998230","7152147316","9123488112","14832498486","877860","336829","174066","157796","178668","170501","196829","226910","109919","89171","198206","251284","301139","226440","148449","660703","436108","4698","215013","231728","178092","195155","272110"
"20241","11","서울시","CS300033","철물점","59666659807","1231483","50875123778","8791536029","10305379962","11049230852","11198986882","9690703090","8630822992","7564526668","1227009361","36879880","14438840413","18037493252","19674672548","7423709647","55064067","28536396379","18676612946","12587859","1125030461","4926373431","8585721208","12626067142","19937463037","1021134","210349","190745","213857","212732","206897","196903","165403","44946","641","326856","369028","375905","157977","1076","672973","284917","1128","36989","153044","172066","266060","328670"
"20241","11","서울시","CS300032","가전제품","274540768183","566031","182795791031","91744977152","40916634858","39341348413","30812335808","35318845868","36406626084","47678835251","44066141901","637890","11754279704","68968066331","109945578769","82795696380","1076509109","156856672592","113491799125","106311329","12392979163","82757928806","67796660310","54606515489","52686619835","361732","204299","78160","70570","65935","71873","75194","107305","96994","127","31910","146543","212321","171751","3379","329965","225541","832","32477","120605","121171","128696","151711"
"20241","11","서울시","CS300031","가구","155138418445","389491","101626003346","53512415099","21344022940","21262782970","16621580667","17796663521","24600953248","28946725393","24565689706","26205401","10675529191","40506009197","68390388809","35440022711","100263136","72546056783","71899306436","12786752","3900481843","25694953659","34084366374","40081002433","40671772165","290884","98607","52010","55794","60684","57621","64775","58492","40115","579","43270","125504","152714","66836","588","156024","189845","816","30638","83644","69764","73432","87588"
"20241","11","서울시","CS300029","애완동물","12979810013","337219","9014668448","3965141565","1852203572","1346301690","2075046344","1860753183","1880363659","2139525267","1825616298","106970937","508474492","3828047844","4187576664","3748879237","599860839","4915271503","7738845962","42926774","1295758223","2027983359","2493166551","3085325753","3708956809","236491","100728","46243","45927","46461","46704","51156","54498","46230","2460","17014","76962","108554","118166","14063","132174","201663","1657","33501","60553","57559","93869","86677"
"20241","11","서울시","CS300028","화초","72785263973","1520183","57807885897","14977378076","9818886922","10780151495","12813020411","12937062737","11458764332","9616886727","5360491349","527119598","15116580290","20664242609","20959815184","13996116638","1521389654","25255704279","29058645447","164810705","5025890653","11166631418","12276237427","13596682620","12083252111","1140688","379495","188401","201935","240454","255399","254499","238249","141246","3049","203562","451632","445649","390021","26270","568263","762874","9040","211145","335961","281225","262554","231130"
"20241","11","서울시","CS300027","섬유제품","27310112866","317492","20959998933","6350113933","3583805039","3817023447","4744818704","3585057941","5229293802","4223608679","2126505254","2658228","2820968501","8007910028","11664209107","4757924383","56442619","8941193806","15162995137","23997124","499368283","3184770018","3392165153","6219271515","10784616843","250350","67142","46193","49133","48482","52237","54305","47314","19828","2","37208","98513","128114","53258","397","104790","173841","220","6859","24224","36160","75686","135472"
"20241","11","서울시","CS300026","완구","25658121300","1581981","14141171940","11516949360","2489517021","2585576329","2602909901","2651983854","3811184835","6519903811","4997045549","3322762","926029541","6075771938","8935155661","8993392605","724448793","13999928062","11041585672","300645514","4492936371","7627035071","7469576514","2250418874","2900901390","831126","750855","147318","113491","128837","173845","267635","420735","330120","353","39750","311293","552587","639606","38392","659908","918235","45636","562919","468836","358788","86788","55176"
"20241","11","서울시","CS300025","자전거 및 기타운송장비","26569487215","169479","15312777961","11256709254","2332065451","2386242866","3432794074","3209334104","3952341466","6634684816","4622024438","2404277","1079945383","8063893773","11122062576","6077838141","223343065","20189238716","5267486292","83614154","948147294","3482042293","9284047350","6440891956","5217981963","104676","64803","18342","19554","22355","21455","22970","35989","28814","24","17849","51444","68939","30907","316","119395","38837","3304","7335","25588","42020","38700","41275"
"20241","11","서울시","CS300024","운동/경기용품","223811807247","1484904","153515104617","70296702630","26491051278","30524292793","28507600527","33891057480","34101102539","38982098775","31314603855","794396083","15797605763","58089310670","83910941309","59974931353","5244622069","129865831197","73563090213","1149294453","18051218416","42221170370","56268748512","49719517835","36018956643","905150","579754","168451","169423","171295","186015","209966","318670","261084","15924","108952","390152","527911","397115","44850","913390","519687","17296","177363","302085","362929","294843","278568"
"20241","11","서울시","CS300022","화장품","365738733601","4095184","297252599708","68486133893","54269792128","57789849630","61499258935","66349419014","57344280001","44370079524","24116054369","3734537020","28502869206","103725732285","122179584972","89099697116","18496313002","119872239699","226983525047","1184133226","39965281304","73612889371","88142450941","78207145711","65744001283","2906564","1188620","501793","554354","585164","614297","650956","710852","477768","40780","330259","999807","1296820","1223372","204146","1197532","2816150","45025","835497","885507","660915","694992","891749"
"20241","11","서울시","CS300021","문구","300685775598","10109363","274647781673","26037993925","51742511124","53377194337","58050434914","54336634579","57141006719","16755117408","9282876517","80516981","45571992667","92930729890","116573768039","44417384878","1111383143","92025940372","61768453572","1443935751","10446093672","21954319692","41464148441","43451650533","35034245875","8289658","1819705","1625327","1742990","1724451","1661066","1535824","1125687","694018","7117","1139708","3033228","3556359","2256307","116644","3805784","4338701","224901","1176456","1617108","2420420","1522077","1183510"
